N_WORKERS,COMM_PERIOD,AGG_MODE,COMM_MODE,NONIID,UNBALANCED,TIME,ACCURACY,PKT_SIZE
64,1,0,2,0,0,47.378077,88.5600,33.426
64,1,0,2,0,1,33.515805,88.0000,31.178
64,1,0,2,1,0,32.737008,86.0900,27.820
64,1,0,2,1,1,35.465973,84.5100,32.737
64,1,1,0,0,0,39.708639,88.4400,188.866
64,1,1,0,0,1,50.203086,88.6100,188.866
64,1,1,0,1,0,35.043184,87.7300,188.866
64,1,1,0,1,1,42.112207,87.3900,188.866
64,1,1,1,0,0,39.152623,88.4100,92.904
64,1,1,1,0,1,41.957112,88.9700,106.035
64,1,1,1,1,0,34.964721,86.5700,109.093
64,1,1,1,1,1,40.629391,87.0400,100.279
64,1,1,2,0,0,46.155075,88.5600,33.426
64,1,1,2,0,1,39.643586,88.0000,31.178
64,1,1,2,1,0,43.898079,86.0900,27.820
64,1,1,2,1,1,37.873993,84.5100,32.737
64,10,0,0,0,0,17.806751,88.4300,18.887
64,10,0,0,0,1,19.303694,88.5200,18.887
64,10,0,0,1,0,17.774032,80.8100,18.887
64,10,0,0,1,1,21.664617,76.8600,18.887
64,10,1,0,0,0,17.988827,88.4300,18.887
64,10,1,0,0,1,20.539847,88.5200,18.887
64,10,1,0,1,0,17.644944,80.8100,18.887
64,10,1,0,1,1,21.755096,76.8600,18.887
64,20,0,0,0,0,16.233136,88.4000,9.443
64,20,0,0,0,1,17.866430,88.4700,9.443
64,20,0,0,1,0,17.215960,77.2400,9.443
64,20,0,0,1,1,17.838690,66.1000,9.443
64,20,1,0,0,0,16.177416,88.4000,9.443
64,20,1,0,0,1,16.655902,88.4700,9.443
64,20,1,0,1,0,16.244311,77.2400,9.443
64,20,1,0,1,1,17.321541,66.1000,9.443
64,50,0,0,0,0,15.174882,88.2600,3.777
64,50,0,0,0,1,20.386349,88.2500,3.777
64,50,0,0,1,0,15.046440,71.0000,3.777
64,50,0,0,1,1,17.748388,53.3300,3.777
64,50,1,0,0,0,16.039742,88.2600,3.777
64,50,1,0,0,1,24.111764,88.2500,3.777
64,50,1,0,1,0,15.406458,71.0000,3.777
64,50,1,0,1,1,17.275344,53.3300,3.777
