N_WORKERS,COMM_PERIOD,OVERLAP,COMM_MODE,AGG_MODE,NONIID,UNBALANCED,TIME,ACCURACY
8,1,0.0,0,2,0,0,81.881099,91.2600
8,1,0.0,0,2,0,1,82.874970,91.2500
8,1,0.0,0,2,1,0,81.459455,88.8900
8,1,0.0,0,2,1,1,82.487672,82.6200
8,1,0.0,0,3,0,0,87.295892,91.0400
8,1,0.0,0,3,0,1,89.325376,91.5700
8,1,0.0,0,3,1,0,87.826508,27.7900
8,1,0.0,0,3,1,1,87.106873,37.5900
8,1,0.0,1,0,0,0,86.583690,90.9900
8,1,0.0,1,0,0,1,87.221869,91.4400
8,1,0.0,1,0,1,0,86.882209,71.9100
8,1,0.0,1,0,1,1,86.170521,83.3300
8,1,0.0,1,2,0,0,87.658831,91.0200
8,1,0.0,1,2,0,1,86.257621,91.4400
8,1,0.0,1,2,1,0,86.744400,72.0700
8,1,0.0,1,2,1,1,84.261614,83.3600
8,1,0.0,1,3,0,0,86.357592,90.7200
8,1,0.0,1,3,0,1,87.441407,91.5500
8,1,0.0,1,3,1,0,86.428161,27.8300
8,1,0.0,1,3,1,1,84.891320,37.6000
8,1,0.0,2,0,0,0,83.095519,91.1800
8,1,0.0,2,0,0,1,79.351706,91.2100
8,1,0.0,2,0,1,0,,
8,1,0.0,2,0,1,1,,
8,1,0.0,2,2,0,0,83.030932,91.2000
8,1,0.0,2,2,0,1,81.555400,91.2300
8,1,0.0,2,2,1,0,81.845792,87.1500
8,1,0.0,2,2,1,1,,
8,1,0.0,2,3,0,0,89.080205,91.0500
8,1,0.0,2,3,0,1,,
8,1,0.0,2,3,1,0,,
8,1,0.0,2,3,1,1,,
