N_WORKERS,COMM_PERIOD,AGG_MODE,COMM_MODE,NONIID,UNBALANCED,TIME,ACCURACY,PKT_SIZE
32,50,1,0,1,1,24.520103,30.6700,1.859
32,100,0,0,0,0,23.826315,80.8700,0.929
32,100,0,0,0,1,21.132019,80.3200,0.929
32,100,0,0,1,0,24.070569,32.9000,0.929
32,100,0,0,1,1,25.987236,22.3000,0.929
32,100,1,0,0,0,22.724875,80.8700,0.929
32,100,1,0,0,1,25.413807,80.3200,0.929
32,100,1,0,1,0,23.042122,32.9000,0.929
32,100,1,0,1,1,27.901138,22.3000,0.929
64,1,0,0,0,0,37.316292,79.1600,188.866
64,1,0,0,0,1,48.908064,79.3700,188.866
64,1,0,0,1,0,39.949200,76.6900,188.866
64,1,0,0,1,1,50.989075,71.5200,188.866
64,1,0,1,0,0,35.709331,78.8500,95.872
64,1,0,1,0,1,44.801924,80.5000,99.080
64,1,0,1,1,0,34.058673,64.7900,95.302
64,1,0,1,1,1,38.884086,69.0200,87.658
64,1,0,2,0,0,43.605770,79.2000,26.381
64,1,0,2,0,1,36.126118,78.6500,26.411
64,1,0,2,1,0,36.569513,63.5700,17.747
64,1,0,2,1,1,33.503126,61.9600,22.814
64,1,1,0,0,0,38.222111,79.1600,188.866
64,1,1,0,0,1,49.497367,79.3700,188.866
64,1,1,0,1,0,38.670038,76.6900,188.866
64,1,1,0,1,1,48.709202,71.5200,188.866
64,1,1,1,0,0,33.519644,78.8500,95.872
64,1,1,1,0,1,42.190504,80.4400,99.080
64,1,1,1,1,0,34.159706,68.1800,95.302
64,1,1,1,1,1,34.585355,67.8800,87.658
64,1,1,2,0,0,39.421713,79.2000,26.381
64,1,1,2,0,1,41.841849,78.6500,26.411
64,1,1,2,1,0,30.910865,63.5700,17.747
64,1,1,2,1,1,35.828036,61.9600,22.814
8,1,0,0,0,0,81.296358,83.3000,20.985
8,1,0,0,0,1,82.823867,83.3100,20.985
8,1,0,0,1,0,81.528906,72.8800,20.985
8,1,0,0,1,1,83.215177,67.7900,20.985
8,1,0,1,0,0,81.191348,83.2900,13.520
8,1,0,1,0,1,80.321041,83.4400,14.060
8,1,0,1,1,0,79.825170,60.8000,10.163
8,1,0,1,1,1,80.118829,69.2300,12.741
8,1,0,2,0,0,81.973686,83.0400,3.897
8,1,0,2,0,1,80.098669,83.6000,3.867
8,1,0,2,1,0,,23.3300,
8,1,0,2,1,0,80.499516,33.8200,3.747
8,1,0,2,1,1,78.284072,43.8600,3.837
8,1,1,0,0,0,81.111124,83.3000,20.985
8,1,1,0,0,1,84.121199,83.3100,20.985
8,1,1,0,1,0,81.112233,72.8800,20.985
8,1,1,0,1,1,83.298596,67.7900,20.985
8,1,1,1,0,0,81.325586,83.1100,13.520
8,1,1,1,0,1,78.973186,83.4100,14.060
